Controller,Run,Scene,Solved,IsStable,ConstraintsOK,JointsOK,JointsVelOK,ControlEffort,FinalError,RMSE,SimTime
FBL-QP,4,35,1,1,1,1,1,1879.86928771743,0.0951860480034568,0.398387798139748,80.24
FBL-QP,5,35,1,1,1,1,1,1838.61413612652,0.0952624077176231,0.395316869021867,80.04
FBL-QP,1,36,1,1,1,1,1,184.74554395198,0.0345191487126617,0.572639090151835,15.14
FBL-QP,2,36,1,1,1,1,1,220.602271539453,0.0346212564659556,0.567822484155599,15
FBL-QP,3,36,1,1,1,1,1,214.560449683972,0.0346733290903883,0.574078759864223,15.16
FBL-QP,4,36,1,1,1,1,1,231.277843374876,0.0344150063337002,0.573157554123115,15.18
FBL-QP,5,36,1,1,1,1,1,167.389704741657,0.0348938789614554,0.569790219078821,15.12
FBL-QP,1,37,1,1,1,1,1,419.543951674755,0.045798425403042,0.622605975096262,17.02
FBL-QP,2,37,1,1,1,1,1,228.926252633658,0.0448771489615805,0.611718468884451,16.8
FBL-QP,3,37,1,1,1,1,1,241.335153929461,0.0445698095572342,0.613992381932238,16.9
FBL-QP,4,37,1,1,1,1,1,242.169336052226,0.0447164038911299,0.614726867209234,16.92
FBL-QP,5,37,1,1,1,1,1,235.924189081296,0.0450323805247536,0.613746969102092,16.9
FBL-QP,1,38,1,1,1,1,1,353.264306834854,0.050935968400838,0.693967929548704,18.5
FBL-QP,2,38,1,1,1,1,1,365.064767335293,0.0481748756374273,0.69532076238403,18.52
FBL-QP,3,38,1,1,1,1,1,752.476439921787,0.0492192574739898,0.709442759882389,18.7
FBL-QP,4,38,1,1,1,1,1,660.15838388881,0.0497441305284977,0.708526172558193,18.76
FBL-QP,5,38,1,1,1,1,1,629.176379826379,0.0479470019541615,0.701573571900472,18.6
FBL-QP,1,39,1,1,1,1,1,1305.88970983363,0.0913710979832106,0.371113564593451,69.64
FBL-QP,2,39,1,1,1,1,1,1725.57897359732,0.0915929258175166,0.357232451197244,76.14
FBL-QP,3,39,1,1,1,1,1,1678.18238010069,0.0934638750088357,0.361095508098059,75.32
FBL-QP,4,39,1,1,1,1,1,1596.15525133697,0.0923519854215893,0.36149578141827,74.66
FBL-QP,5,39,1,1,1,1,1,1753.65561280701,0.0957362651958275,0.362726956005989,75.36
FBL-QP,1,3,1,1,1,1,1,252.681937653844,0.0461367050008781,0.558730625341324,16.46
FBL-QP,2,3,1,1,1,1,1,306.887718298395,0.0459506012284183,0.560414504358874,16.46
FBL-QP,3,3,1,1,1,1,1,241.600804574688,0.0450370797776016,0.552622117819092,16.22
FBL-QP,4,3,1,1,1,1,1,239.445028529935,0.0475311270697682,0.558615446822983,16.44
FBL-QP,5,3,1,1,1,1,1,345.065957625705,0.0455358365579543,0.562458858968919,16.54
FBL-QP,1,40,1,1,1,1,1,916.245600865767,0.0360073060027677,0.735000719855961,19.6
FBL-QP,2,40,1,1,1,1,1,920.301639251622,0.0373946512881057,0.738361412013944,18.66
FBL-QP,3,40,1,1,1,1,1,661.469817932499,0.0522877723960571,0.7276164589845,17.42
FBL-QP,4,40,1,1,1,1,1,661.451661755653,0.0512663766182442,0.72246368756688,17.28
FBL-QP,5,40,1,1,1,1,1,776.904876189134,0.0544581340655072,0.736701177906179,17.58
FBL-QP,1,41,1,1,1,1,1,305.712262417247,0.0407364333936089,0.561496826595154,14.32
FBL-QP,2,41,1,1,1,1,1,343.549079212588,0.042423605539123,0.600088381991275,15
FBL-QP,3,41,1,1,1,1,1,340.402155836102,0.0393018478298225,0.560947350850707,14.28
FBL-QP,4,41,1,1,1,1,1,412.392103717829,0.0413045962601396,0.581096344492634,14.62
FBL-QP,5,41,1,1,1,1,1,382.9955048854,0.0368591969429215,0.609312468428429,15.2
FBL-QP,1,42,1,1,1,1,1,1015.38623556957,0.0753539515048525,0.729393659885087,20.98
FBL-QP,2,42,1,1,1,1,1,814.980003883403,0.0785306995034102,0.72600310438851,20.92
FBL-QP,3,42,1,1,1,1,1,405.435216975811,0.061438179476971,0.727694539051474,20.54
FBL-QP,4,42,1,1,1,1,1,752.504348403188,0.0632080498833453,0.729897240984237,20.82
FBL-QP,5,42,1,1,1,1,1,798.160526979232,0.0643038029526334,0.728396560317119,20.54
