Controller,Run,Solved,IsStable,ConstraintsOK,JointsOK,ControlEffort,FinalError,RMSE,SimTime
QP,45,1,1,1,1,386.791479712745,0.0342786286682023,0.439523193804677,19.5
QP,46,1,1,1,1,181.697132636836,0.0416654982505169,0.401589302668478,16.36
QP,47,1,1,1,1,57.9002001890122,0.0164181917581262,0.47141554679878,14.14
QP,48,1,1,1,1,166.641119780881,0.0840542290492244,0.362167888444407,15.7733333333333
QP,49,1,1,1,1,162.733832432665,0.00716291449340757,0.483115314658336,15.06
QP,50,1,1,1,1,129.959309042589,0.0228206382458906,0.433683305390061,14.34
QP,51,1,1,1,1,179.138904149738,0.0164695654448742,0.407946254890393,15.0933333333333
QP,52,1,1,1,0,310.188163619229,0.00971672064043984,0.422180749887164,15.88
QP,53,1,1,1,1,156.429395219803,0.0211189308020805,0.448729632989328,14.6266666666667
QP,54,1,1,1,1,336.912402406992,0.00400863106283084,0.483177973133661,17.2133333333333
QP,55,1,1,1,1,246.851190868491,0.0760665358421661,0.397579329459064,15.58
QP,56,1,1,1,1,133.727631230719,0.0218912696920317,0.49714989746324,16.9866666666667
QP,57,0,1,1,0,153357.918319842,0.0996685211730877,0.399917226329929,502.953333333333
QP,58,1,1,1,1,101.722447437714,0.0606529677107253,0.411727043346593,13.8066666666667
QP,59,1,1,1,1,142.639486057702,0.0140470615094689,0.464620919077126,15.2666666666667
QP,60,1,1,1,1,202.106079279301,0.0653899732193628,0.525748730453884,14.58
QP,61,1,1,1,0,750.193062678098,0.0961260906344991,0.27489498555526,48.4533333333333
QP,62,1,1,1,1,203.964339153124,0.0200090636766546,0.462550122516926,15.3466666666667
QP,63,1,1,1,1,1526.98387976582,0.0981219465330389,0.167484245836864,106.606666666667
QP,64,1,1,1,0,619.230831477297,0.0842909026093764,0.382252037651715,25.0266666666667
QP,65,1,1,1,1,673.070805189566,0.0439943996545408,0.420234883334602,14.9533333333333
QP,66,1,1,1,1,10857.4964963838,0.0905899131120129,0.217216532142743,217.693333333333
QP,67,1,1,1,1,106.31506222364,0.00710238933340416,0.440825879029606,14.6666666666667
QP,68,1,1,1,1,243.563271947329,0.00300175512853893,0.475333807351495,16.42
QP,69,1,1,1,1,431.540178462126,0.0522355226444452,0.331047035086643,17.5666666666667
QP,70,1,1,1,1,266.169657805739,0.0749966115860809,0.384782221143179,15.4466666666667
QP,71,1,1,1,1,113.479997896257,0.0295208148317667,0.395151455322379,13.7533333333333
QP,72,1,1,1,1,236.617712037535,0.00263058197680021,0.458380402846556,16.3533333333333
QP,73,1,1,1,1,4961.60204284754,0.0964217980514303,0.180541760119474,212.726666666667
QP,74,1,0,1,0,23923.5144056903,0.131424066603226,0.210708369142522,538.046666666667
QP,75,1,1,1,1,67108.1401696403,0.0620770594799157,0.454443112697144,188.08
QP,76,1,1,1,0,215.179816671944,0.0659619542828496,0.411168945546295,15.16
QP,77,1,1,1,1,154.716260697494,0.0563895872535138,0.437748504681073,15.6133333333333
QP,78,1,1,1,1,61.407510590841,0.0117384995618838,0.442715353522046,13.5333333333333
QP,79,1,1,1,1,325.098857586402,0.0489221846753317,0.508109679583208,16.3733333333333
QP,80,1,1,1,1,1008.23138911911,0.0617038278529208,0.469694953128404,20.34
QP,81,1,1,1,1,94.4919334232479,0.00644818005990238,0.473896313104079,14.1333333333333
QP,82,1,1,1,1,600.325706106002,0.0381494032579846,0.412582521995609,19.3133333333333
QP,83,1,1,1,1,144.709356305795,0.0231555268207588,0.445962122221615,15.3533333333333
QP,84,1,0,1,1,283122.553743149,0.203067978348385,0.535682632201749,536.606666666667
QP,85,1,1,1,1,81.3524584632712,0.0518945869689382,0.472828310431134,14.5266666666667
QP,86,1,1,1,1,585.479639534386,0.0833960028445307,0.353490314296572,21.6
QP,87,1,1,1,1,116.530022506756,0.0300477947144312,0.481731868515252,15.0733333333333
QP,88,1,1,1,1,156.860142074399,0.017243866884779,0.441866470011635,16.2933333333333
QP,89,1,1,1,1,180.542859205691,0.00523431722825011,0.471564486736383,16.8266666666667
QP,90,1,1,1,1,287.59461975957,0.0511767203010398,0.475251701509651,15.3133333333333
QP,91,1,1,1,1,461.257921017831,0.0319183732414229,0.38175807658108,15.48
QP,92,1,1,1,1,597.671243517654,0.0583578882662063,0.33457234316764,17.54
QP,93,1,1,1,1,334.299075798482,0.0229867817905638,0.457930167479752,16.1066666666667
QP,94,1,1,1,1,428.895221577362,0.0214109493167355,0.508516646183026,16.14
QP,95,1,1,1,1,1057.31841915809,0.097865057423278,0.210915256550923,50.3866666666667
QP,96,1,1,1,1,558.032297939982,0.092315428944496,0.276181168311149,35.9666666666667
QP,97,1,1,1,1,356.266717390068,0.0148703934748865,0.484563800054213,18.96
QP,98,1,1,1,1,418.316200712446,0.0278754027790486,0.502211736476237,18.0333333333333
QP,99,1,1,1,1,2907.98872116117,0.0926082745643989,0.206238674691671,118.793333333333
QP,100,1,1,1,1,109.6430667729,0.0298656741908823,0.463857368132529,15.04
