Controller,Run,Scene,Solved,IsStable,ConstraintsOK,JointsOK,JointsVelOK,ControlEffort,FinalError,RMSE,SimTime,SceneLogError,ScenePositionError_1,ScenePositionError_2,ScenePositionError_3,SceneRotationError_1,SceneRotationError_2,SceneRotationError_3
FBL-QP,4,2,1,1,1,1,1,204.903331623914,0.0567935013564341,0.724625382142039,19.1,1.31484259585299,0.728740312403604,-1.88802117194336,0.518798071189598,0.684837313359746,0.0461012667056225,0.204871800790894
FBL-QP,5,2,1,1,1,1,1,207.147803586741,0.059189238513563,0.723389776041217,19,1.31484259585299,0.728740312403604,-1.88802117194336,0.518798071189598,0.684837313359746,0.0461012667056225,0.204871800790894
FBL-QP,1,30,1,1,1,1,1,607.253841391047,0.0431626050349825,0.731046097548351,16.68,1.38448845337018,1.04218954410624,-1.78828296600541,-0.951508068877764,0.665782810718353,0.0620070137493902,0.233524751479836
FBL-QP,2,30,1,1,1,1,1,464.762925435011,0.0422732821910646,0.724888009154291,16.62,1.38448954424908,1.04219074641467,-1.78828423935799,-0.951510478929721,0.665782862720333,0.0620070308118489,0.233524746887781
FBL-QP,3,30,1,1,1,1,1,609.161936046868,0.0431816232355839,0.730655389736542,16.68,1.38448954424908,1.04219074641467,-1.78828423935799,-0.951510478929721,0.665782862720333,0.0620070308118489,0.233524746887781
FBL-QP,4,30,1,1,1,1,1,646.98303933275,0.0420902947474854,0.732732814500776,16.8,1.38449063517649,1.0421919486915,-1.7882855126327,-0.951512888999596,0.665782914822823,0.0620070479053168,0.233524742286245
FBL-QP,5,30,1,1,1,1,1,521.81444619973,0.0465891538175752,0.728429393802238,16.86,1.38449172615173,1.04219315093637,-1.78828678583003,-0.95151529908746,0.665782967024915,0.0620070650302224,0.233524737674887
FBL-QP,1,31,1,1,1,1,1,409.930821073504,0.0534697476650659,0.689230745996186,18.38,1.29023526190178,0.620084220299019,-1.80374073943401,0.622430544264531,0.687716254782898,0.0692476617847391,0.219619047088561
FBL-QP,2,31,1,1,1,1,1,483.360458038405,0.0555136109533243,0.693793853199966,18.54,1.29023498126926,0.620083128118199,-1.80373958971161,0.62243306339492,0.687716195564794,0.069247642230473,0.219619052861802
FBL-QP,3,31,1,1,1,1,1,347.07140539608,0.0520521060755844,0.685189751145062,18.3,1.29023526190178,0.620084220299019,-1.80374073943401,0.622430544264531,0.687716254782898,0.0692476617847391,0.219619047088561
FBL-QP,4,31,1,1,1,1,1,356.151584009045,0.0535914397948609,0.684807847446756,18.48,1.29023554256828,0.620085312462287,-1.80374188911151,0.622428025130285,0.6877163140612,0.0692476813511695,0.219619041305854
FBL-QP,5,31,1,1,1,1,1,343.332238557141,0.0511407169138118,0.68323805331861,18.4,1.29023498126926,0.620083128118199,-1.80373958971161,0.62243306339492,0.687716195564794,0.069247642230473,0.219619052861802
