Controller,Run,Solved,IsStable,ConstraintsOK,JointsOK,JointsVelOK,ControlEffort,FinalError,RMSE,SimTime
FBL-QP,102,1,1,1,1,1,243.31287142448,0.0307411221572882,0.384716617311237,40.78
FBL-QP,103,1,1,1,1,1,88.5075257560845,0.0276083405050874,0.377914074235362,40.38
FBL-QP,104,1,1,1,1,1,292.16630158456,0.0564207363113102,0.440543905002547,41.72
FBL-QP,105,1,1,1,1,1,787.587600171903,0.0770888908637289,0.353462534917693,62.78
FBL-QP,106,1,1,1,1,1,717.309380437502,0.0258780802459907,0.482625183748101,44.24
FBL-QP,107,1,1,1,1,1,617.052223831039,0.0270168451977837,0.45217816945953,43.36
FBL-QP,108,1,1,1,1,1,205.720519661266,0.0309870997836379,0.369935706365161,40.24
FBL-QP,109,1,1,1,1,1,415.633053132735,0.0192912693915807,0.435190533811779,44.8
FBL-QP,110,1,1,1,1,1,311.595727389819,0.0311408749804516,0.434707060499208,42.96
FBL-QP,111,1,1,1,1,1,327.011932887129,0.0364098890320699,0.319511401861157,39.18
FBL-QP,112,1,1,1,1,1,739.960380392007,0.0392030001563835,0.433437984619146,42.94
FBL-QP,113,1,1,1,1,1,240.993194115213,0.032283004102565,0.342332040837406,39.28
FBL-QP,114,1,1,1,1,1,2385.03932615159,0.0311539817904434,0.420015824437243,47
FBL-QP,115,1,1,1,1,1,1481.66702871194,0.0748901131089967,0.368064779249771,87.52
FBL-QP,116,1,1,1,1,1,227.607399522333,0.0265956340435407,0.312299539510939,38.52
FBL-QP,117,1,1,1,1,1,1581.1517880846,0.055230707911646,0.361602922639372,59.76
FBL-QP,118,1,1,1,1,1,329.588947409135,0.0291728654133791,0.441253975242747,42.72
FBL-QP,119,1,1,1,1,1,211.20119075861,0.0241136420009661,0.429974862867451,43.9
FBL-QP,120,1,1,1,1,1,886.597923353617,0.06249233703247,0.542962407170378,46.22
FBL-QP,121,1,1,1,1,1,368.455237229158,0.0250448063931501,0.475846527198532,41.9
FBL-QP,122,1,1,1,1,1,105.442293422183,0.0262243270812257,0.41505270763296,42.72
FBL-QP,123,1,1,1,1,1,316.57592422014,0.0413237276608911,0.414951881319469,42.08
FBL-QP,124,1,1,1,1,1,461.413705336749,0.0275885189499071,0.450667653984508,41.2
FBL-QP,125,1,1,1,1,1,577.49439659279,0.0408957564152318,0.417440244283992,42.12
FBL-QP,126,1,1,1,1,1,8389.11375725791,0.0649489578314603,0.489035918265651,76.68
FBL-QP,127,1,1,1,1,1,433.964527187698,0.0289713670218204,0.434005188540589,43.82
FBL-QP,128,1,1,1,1,1,2203.55254106406,0.0281822072374403,0.429487902384217,46.98
FBL-QP,129,1,1,1,1,1,325.313314047918,0.0269335234384128,0.441853554942232,41.48
FBL-QP,130,1,1,1,1,1,359.27677166858,0.0571909775711705,0.37239804564569,57.72
FBL-QP,131,1,1,1,1,1,2006.27739524175,0.0317123866126379,0.323851986885883,81.12
FBL-QP,132,1,1,1,1,1,433.309447199244,0.0355902793577116,0.39785982554218,42.46
FBL-QP,133,1,1,1,1,1,267.046708677566,0.0396480881391126,0.421138261953778,41.98
FBL-QP,134,1,1,1,1,1,353.529340037281,0.0235365395307846,0.445769091214123,43.96
FBL-QP,135,1,0,1,1,1,288840.153225229,0.388335359863012,0.655317091829966,760.2
FBL-QP,136,1,1,1,1,1,484.958780936176,0.0216626506978316,0.430278814254941,42.64
FBL-QP,137,1,1,1,1,1,635.522866964867,0.0637430986742635,0.439918841825121,43.18
FBL-QP,138,1,1,1,1,1,1733.92446157826,0.0328153976257301,0.378847762539766,44.86
FBL-QP,139,1,1,1,1,1,3151.19233708921,0.0341938720843772,0.357129057560455,99.3
FBL-QP,140,1,1,1,1,1,201.037852601385,0.024887836285132,0.359913934568166,39.32
FBL-QP,141,1,1,1,1,1,958.924960016952,0.0488561105678468,0.462900625136826,45.54
FBL-QP,142,1,1,1,1,1,328.023275336587,0.0229869425681515,0.398347839544536,43.28
FBL-QP,143,1,1,1,1,1,270.869444519347,0.0237777814885427,0.346069034323305,40.78
FBL-QP,144,1,1,1,1,1,862.091989490112,0.0220345768842199,0.435529517975066,50.8
FBL-QP,145,1,1,1,1,1,521.453318599414,0.0195750805973125,0.44608488241088,42.22
